  S    T    X  AorM Estp gear  speed   steer  brk     enc     alv etx0 etx1
0x53 0x54 0x58 0x00 0x00    2      0   0   0  200          0    6 0x0d 0x0a 
0x53 0x54 0x58 0x00 0x00    2      0   0   0  200          0    7 0x0d 0x0a 
0x53 0x54 0x58 0x00 0x00    2      0   0   0  200          0    8 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  216          0    9 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   10 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   11 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0    1          0   12 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   13 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   14 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0    1          0   15 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   16 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   17 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   18 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   20 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   21 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   22 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   23 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   24 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   25 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   26 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   27 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   28 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   29 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   30 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   31 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   32 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   33 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   34 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   35 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   36 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   37 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   38 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   39 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   40 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   41 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   42 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   43 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   44 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   45 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  200          0   47 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  200          0   48 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   49 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   50 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   51 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   52 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   53 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x10    2      0   0   0  200          0   54 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   55 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0   56 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 125 255  200          0   57 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 125 255  200          0   58 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 131 255  200          0   59 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 131 255  200          0   60 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  11   0  200          0   61 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  11   0  200          0   62 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 254 255  200          0   63 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 254 255  200          0   64 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0   65 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0   66 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0   67 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0   68 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0   69 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0   70 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0   71 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 253 255  200          0   72 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 132   0  200          0   74 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 137   1  200          0   75 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 137   1  200          0   76 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 235   1  200          0   77 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 235   1  200          0   78 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 238   1  200          0   79 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 238   1  200          0   80 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 246   1  200          0   81 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 246   1  200          0   82 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  45   1  200          0   83 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  45   1  200          0   84 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28   0  200          0   85 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28   0  200          0   86 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  21   0  200          0   87 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  21   0  200          0   88 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   3   0  200          0   89 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   3   0  200          0   90 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0   91 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0   92 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0   93 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0   94 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  200          0   95 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  200          0   96 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0   97 0x1d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   2   0  200          0   98 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  34 255  200          0   99 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  16 254  200          0  101 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  16 254  200          0  102 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28 254  200          0  103 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28 254  200          0  104 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 192 254  200          0  105 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 192 254  200          0  106 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 128 254  200          0  107 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 128 254  200          0  108 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28 255  200          0  109 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28 255  200          0  110 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255  200          0  111 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255  200          0  112 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 248 255  200          0  113 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 248 255  200          0  114 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 248 255  200          0  115 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 248 255  200          0  116 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 250 255  200          0  117 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 250 255  200          0  118 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0  119 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   0   0  200          0  120 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  73   1  200          0  121 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  73   1  200          0  122 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 168   2  200          0  123 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 168   2  200          0  124 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   4  200          0  125 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   4  200          0  126 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2   4096 216   4  200          0  128 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 226   3  200          0  129 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 226   3  200          0  130 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  98   2  200          0  131 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  98   2  200          0  132 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 255   0  200          0  133 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 255   0  200          0  134 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 150 255  200          0  135 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 150 255  200          0  136 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 157 255  200          0  137 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 157 255  200          0  138 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   8   0  200          0  139 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   8   0  200          0  140 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  200          0  141 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  216          0  142 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 135   0  200          0  143 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 135   0  200          0  144 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 128   0    1          0  145 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 128   0  200          0  146 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 251 255  200          0  147 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 251 255    1          0  148 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  200          0  149 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  200          0  150 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 121 255    1          0  151 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 121 255    1          0  152 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 129 255  200          0  153 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0    1          0  155 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0    1          0  156 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 234   0  200          0  157 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 234   0    1          0  158 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 169   0    1          0  159 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 169   0  200          0  160 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 206 255    1          0  161 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 206 255    1          0  162 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  17   0  200          0  163 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  17   0    1          0  164 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  29 255    1          0  165 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  29 255  200          0  166 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  41 255    1          0  167 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  41 255    1          0  168 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   8   0  200          0  169 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   8   0    1          0  170 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255    1          0  171 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255  200          0  172 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255    1          0  173 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255    1          0  174 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 252 255  200          0  175 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 252 255    1          0  176 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 255 255    1          0  177 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 255 255  200          0  178 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 255 255  200          0  179 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 255 255    1          0  180 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 215   0  200          0  182 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  75   2  200          0  183 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  75   2    1          0  184 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 251   2  200          0  185 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 251   2  200          0  186 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x10    2      0  21   2    1          0  187 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  21   2  200          0  188 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 161   0  200          0  189 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 161   0    1          0  190 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28   0  200          0  191 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  28   0  200          0  192 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  10   0    1          0  193 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  10   0  200          0  194 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 203   0  200          0  195 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 203   0    1          0  196 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 201   0  200          0  197 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 201   0  200          0  198 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255    1          0  199 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255  200          0  200 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  25   0  200          0  201 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   9   0    1          0  202 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   8   0  200          0  203 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   8   0  200          0  204 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0    1          0  205 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   4   0    1          0  206 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0   1   0  200          0  207 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  42   1    1          0  209 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0  42   1    1          0  210 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 233   0  200          0  211 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 233   0    1          0  212 0x0d 0x0a 
0x53 0x54 0x58 0x01 0x00    2      0 249 255    1          0  213 0x0d 0x0a 
